en,pt,s
data/paraiba/en/2240px-Bandeira_da_Para%C3%ADba.svg.png,data/paraiba/pt/2240px-Bandeira_da_Para%C3%ADba.svg.png,0.0
data/paraiba/en/2240px-Bras%C3%A3o_da_Capitania_da_Para%C3%ADba.jpg,data/paraiba/pt/2240px-Bras%C3%A3o_da_Capitania_da_Para%C3%ADba.jpg,0.0
,data/paraiba/pt/2240px-Brazil_Paraiba_RegioesGeograficasImediatas.svg.png,
,data/paraiba/pt/2240px-Brazil_Paraiba_RegioesGeograficasIntermediarias.svg.png,
,data/paraiba/pt/2240px-Brazil_Paraiba_location_map.svg.png,
,data/paraiba/pt/2240px-Cabaceiras_-_Para%C3%ADba.jpg,
,data/paraiba/pt/2240px-Cajazeiras%2C_Para%C3%ADba%2C_Brasil.jpg,
,data/paraiba/pt/2240px-Capus_UFCG_Pombal.JPG,
,data/paraiba/pt/2240px-Catedral_de_Nossa_Senhora_da_Piedade%2C_Cajazeiras_-_Para%C3%ADba.jpg,
data/paraiba/en/2240px-Clima_da_Para%C3%ADba_%28K%C3%B6ppen%29.svg.png,data/paraiba/pt/2240px-Clima_da_Para%C3%ADba_%28K%C3%B6ppen%29.svg.png,0.04235565662384033
,data/paraiba/pt/2240px-Convento_Franciscano_Santo_Antonio.2_028.jpg,
,data/paraiba/pt/2240px-Convento_de_S%C3%A3o_Francisco_-_Jo%C3%A3o_Pessoa_-_Para%C3%ADba_-_Brasil.jpg,
,data/paraiba/pt/2240px-ETA_Gramame%E2%80%93Mamuaba%2C_Conde_%28PB%29.jpg,
,data/paraiba/pt/2240px-Ferrovia_campina_grande.JPG,
,data/paraiba/pt/2240px-George_Marcgraf_-_Mapa_da_Para%C3%ADba_e_Rio_Grande_do_Norte%2C_1643.jpg,
,data/paraiba/pt/2240px-Hospital_de_Emerg%C3%AAncia_e_Trauma_Senador_Humberto_Lucena.jpg,
,data/paraiba/pt/2240px-Jo%C3%A3o_Pessoa_%28Para%C3%ADba%29.jpg,
data/paraiba/en/2240px-Jo%C3%A3o_Pessoa_Cavalcanti_de_Albuquerque.jpg,data/paraiba/pt/2240px-Jo%C3%A3o_Pessoa_Cavalcanti_de_Albuquerque.jpg,0.0
,data/paraiba/pt/2240px-JoaoPessoa-ConventoSAntonio5.jpg,
,data/paraiba/pt/2240px-Jos%C3%A9_Peregrino%2C_Revolu%C3%A7%C3%A3o_Pernambucana_%E2%80%93_1817.jpg,
,data/paraiba/pt/2240px-Jp04.jpg,
,data/paraiba/pt/2240px-MT_DIVERSIDADE_logoHoriz_%282023%29_sem_fundo.png,
,data/paraiba/pt/2240px-Mapa_da_Prov%C3%ADncia_da_Paraiba.jpg,
,data/paraiba/pt/2240px-Maquete_Dinossauros.jpg,
data/paraiba/en/2240px-Marcelo_Calero_conhece_o_S%C3%A3o_Jo%C3%A3o_de_Campina_Grande_%2827586988420%29.jpg,data/paraiba/pt/2240px-Marcelo_Calero_conhece_o_S%C3%A3o_Jo%C3%A3o_de_Campina_Grande_%2827586988420%29.jpg,0.0
data/paraiba/en/2240px-Mausol%C3%A9u_de_Jo%C3%A3o_Pessoa%2C_Jo%C3%A3o_Pessoa_%28PB%29.jpg,data/paraiba/pt/2240px-Mausol%C3%A9u_de_Jo%C3%A3o_Pessoa%2C_Jo%C3%A3o_Pessoa_%28PB%29.jpg,0.0
,data/paraiba/pt/2240px-Mercado_de_Artesanato_Paraibano%2C_Jo%C3%A3o_Pessoa_%28PB%29.jpg,
,data/paraiba/pt/2240px-Northeast_Region_in_Brazil.svg.png,
,data/paraiba/pt/2240px-Orla_do_Rio_Para%C3%ADba%2C_Cabedelo_%28PB%29.jpg,
,data/paraiba/pt/2240px-P%C3%B4r_do_sol_na_praia_fluvial_do_Jacar%C3%A9_-_Cabedelo_%28PB%29.jpg,
,data/paraiba/pt/2240px-PB_RegioesMetropolitanas.svg.png,
,data/paraiba/pt/2240px-Pal%C3%A1cio_da_Reden%C3%A7%C3%A3o%2C_Jo%C3%A3o_Pessoa_%28PB%29.jpg,
,data/paraiba/pt/2240px-Para%C3%ADba_Mapa_Rodovi%C3%A1rio.jpg,
,data/paraiba/pt/2240px-Paraiba_DensidadeDemografica.svg.png,
data/paraiba/en/2240px-Paraiba_in_Brazil.svg.png,data/paraiba/pt/2240px-Paraiba_in_Brazil.svg.png,0.0
,data/paraiba/pt/2240px-Parque_S%C3%B3lon_de_Lucena_%28lagoa%29_12%C2%B0_andar_-_panoramio.jpg,
,data/paraiba/pt/2240px-Patos12.jpg,
data/paraiba/en/2240px-Pedras_da_Boca_e_da_Caveira_vistas_da_Pedra_do_Lagarto._Parque_Estadual_da_Pedra_da_Boca%2C_Araruna%2C_PB_1.jpg,data/paraiba/pt/2240px-Pedras_da_Boca_e_da_Caveira_vistas_da_Pedra_do_Lagarto._Parque_Estadual_da_Pedra_da_Boca%2C_Araruna%2C_PB_1.jpg,0.0
,data/paraiba/pt/2240px-Petr%C3%BAcio_Ferreira_Rio2016d.jpg,
,data/paraiba/pt/2240px-Ponta_do_Seixas.jpg,
data/paraiba/en/2240px-Presidente_Castro_Pinto_International_Airport.jpg,data/paraiba/pt/2240px-Presidente_Castro_Pinto_International_Airport.jpg,0.0
,data/paraiba/pt/2240px-Rocha%2C_Helder_da%2C_Pedra_de_Ing%C3%A1-a.jpg,
,data/paraiba/pt/2240px-Territ%C3%B3rio_de_Princesa.svg.png,
,data/paraiba/pt/2240px-Theatro_Minerva_%28Areia-PB%29.jpg,
,data/paraiba/pt/2240px-Tree_Map-Exportacoes_da_Paraiba_%282012%29.png,
data/paraiba/en/2240px-View_of_Frederiksstad_in_Paraiba%2C_Brazil_1638_Frans_Post.jpg,data/paraiba/pt/2240px-View_of_Frederiksstad_in_Paraiba%2C_Brazil_1638_Frans_Post.jpg,0.0
,data/paraiba/pt/2240px-Vista_do_Pico_do_Jabre_no_Municipio_de_Matureia.jpg,
